Criterion,0,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,6d,6e,6f,6g,7a,7b,7c,8a,8b,8c,8d,9a,9b,9c,9d,9e,10a,10b,10c
6d,0.027,0.016,0.008,0.025,-0.052,0.013,-0.095,0.101,0.156,0.028,0.19,0.185,0.063,0.105,0.104,0.123,0.706,0.904,0.932,0.805,0.417,0.702,0.241,0.252,0.157,0.341,0.513,0.307,0.227,0.295,0.451,0.317,0.571,0.474,0.457,0.024,0.031,0.018
6e,0.085,0.148,0.107,0.094,0.089,0.171,-0.027,0.294,0.314,0.076,0.287,0.257,0.119,0.091,0.126,0.162,0.292,0.404,0.43,0.417,0.354,0.493,0.01,0.126,-0.023,0.182,0.116,0.156,0.265,0.265,0.198,0.298,0.172,0.252,0.265,0.169,0.137,0.172
6f,0.028,0.054,0.089,0.062,0.045,0.079,-0.078,0.166,0.185,-0.041,0.281,0.265,0.08,0.117,0.158,0.208,0.473,0.597,0.7,0.702,0.493,0.536,0.163,0.174,0.108,0.24,0.307,0.269,0.257,0.204,0.339,0.393,0.433,0.379,0.376,0.059,0.089,0.077
6g,0.058,0.061,0.122,0.05,0.023,0.048,0.058,0.015,-0.009,-0.065,0.071,0.052,-0.049,0.096,0.061,0.122,0.291,0.267,0.209,0.241,0.01,0.163,0.445,0.006,-0.02,-0.047,0.229,0.26,0.186,0.236,0.083,0.009,0.144,0.148,0.008,-0.005,0.028,-0.057
7a,-0.014,0.042,0.036,0.084,0.01,0.043,-0.021,0.139,0.2,-0.014,0.261,0.279,0.054,0.151,0.179,0.237,0.241,0.245,0.29,0.252,0.126,0.174,0.006,0.468,0.78,0.56,0.112,0.161,0.127,0.201,0.355,0.263,0.287,0.253,0.322,0.092,0.097,0.041
7b,-0.017,0.133,0.081,0.157,0.045,0.11,-0.057,0.203,0.246,-0.046,0.325,0.318,0.025,0.215,0.154,0.292,0.137,0.117,0.143,0.157,-0.023,0.108,-0.02,0.78,0.299,0.506,0.082,0.252,0.21,0.208,0.225,0.223,0.195,0.174,0.21,0.138,0.146,0.122
7c,-0.021,0.082,0.094,0.112,-0.044,0.044,-0.045,0.043,0.085,-0.002,0.224,0.246,0.094,0.104,0.04,0.119,0.247,0.279,0.367,0.341,0.182,0.24,-0.047,0.56,0.506,0.469,0.147,0.187,0.154,0.156,0.281,0.189,0.284,0.206,0.256,0.094,0.146,0.106
8a,-0.045,0.072,0.021,-0.03,-0.005,0.081,-0.06,0.103,0.176,0.057,0.081,0.114,-0.058,0.149,0.09,0.113,0.49,0.519,0.529,0.513,0.116,0.307,0.229,0.112,0.082,0.147,0.638,0.442,0.294,0.312,0.296,0.156,0.351,0.368,0.285,0.05,0.026,0.005
8b,0.036,0.268,0.195,0.127,0.192,0.362,-0.049,0.338,0.443,-0.027,0.368,0.475,-0.015,0.242,0.23,0.385,0.321,0.298,0.281,0.307,0.156,0.269,0.26,0.161,0.252,0.187,0.442,0.196,0.533,0.516,0.238,0.26,0.254,0.163,0.226,0.276,0.33,0.208
8c,0.073,0.264,0.199,0.045,0.135,0.286,-0.083,0.375,0.47,0.011,0.35,0.438,-0.006,0.23,0.226,0.42,0.283,0.234,0.204,0.227,0.265,0.257,0.186,0.127,0.21,0.154,0.294,0.533,0.252,0.618,0.108,0.255,0.191,0.282,0.179,0.304,0.257,0.241
8d,-0.01,0.235,0.181,0.049,0.17,0.322,-0.047,0.356,0.511,0.032,0.368,0.468,-0.031,0.294,0.326,0.483,0.377,0.316,0.314,0.295,0.265,0.204,0.236,0.201,0.208,0.156,0.312,0.516,0.618,0.162,0.236,0.251,0.217,0.231,0.249,0.256,0.243,0.199
9a,-0.017,0.018,0.007,0.085,-0.055,-0.027,-0.062,0.089,0.092,0.038,0.19,0.213,0.129,0.042,0.062,0.15,0.397,0.447,0.477,0.451,0.198,0.339,0.083,0.355,0.225,0.281,0.296,0.238,0.108,0.236,0.756,0.643,0.715,0.489,0.753,-0.039,-0.039,0.012
9b,0.033,0.224,0.142,0.177,0.08,0.112,-0.04,0.294,0.312,0.087,0.348,0.393,0.147,0.098,0.14,0.226,0.215,0.28,0.308,0.317,0.298,0.393,0.009,0.263,0.223,0.189,0.156,0.26,0.255,0.251,0.643,0.52,0.559,0.561,0.58,0.187,0.134,0.208
9c,0.082,-0.073,-0.044,-0.021,-0.061,-0.046,-0.079,0.066,0.069,-0.03,0.143,0.148,0.079,0.072,0.088,0.162,0.509,0.536,0.566,0.571,0.172,0.433,0.144,0.287,0.195,0.284,0.351,0.254,0.191,0.217,0.715,0.559,0.892,0.521,0.656,-0.076,-0.047,-0.025
9d,0.02,0.132,0.085,0.086,0.013,0.054,-0.137,0.26,0.283,0.039,0.284,0.297,0.054,0.043,0.067,0.15,0.353,0.403,0.463,0.474,0.252,0.379,0.148,0.253,0.174,0.206,0.368,0.163,0.282,0.231,0.489,0.561,0.521,0.507,0.559,0.107,0.046,0.091
9e,0.044,0.061,0.024,0.095,-0.046,0.014,-0.063,0.165,0.201,0.089,0.261,0.236,0.162,0.064,0.147,0.189,0.407,0.437,0.508,0.457,0.265,0.376,0.008,0.322,0.21,0.256,0.285,0.226,0.179,0.249,0.753,0.58,0.656,0.559,0.59,0.068,0.015,0.101
10a,-0.013,0.67,0.443,0.398,0.519,0.556,0.127,0.527,0.506,0.204,0.445,0.5,0.084,0.18,0.306,0.286,-0.052,0.021,-0.007,0.024,0.169,0.059,-0.005,0.092,0.138,0.094,0.05,0.276,0.304,0.256,-0.039,0.187,-0.076,0.107,0.068,-0.044,0.646,0.637
10b,-0.007,0.529,0.513,0.326,0.436,0.597,0.121,0.502,0.48,0.217,0.379,0.448,0.023,0.211,0.34,0.334,-0.033,0.021,-0.003,0.031,0.137,0.089,0.028,0.097,0.146,0.146,0.026,0.33,0.257,0.243,-0.039,0.134,-0.047,0.046,0.015,0.646,0.027,0.511
10c,-0.028,0.536,0.33,0.577,0.338,0.395,0.118,0.43,0.414,0.31,0.263,0.315,0.164,0.163,0.247,0.211,-0.041,-0.01,-0.005,0.018,0.172,0.077,-0.057,0.041,0.122,0.106,0.005,0.208,0.241,0.199,0.012,0.208,-0.025,0.091,0.101,0.637,0.511,-0.081
